datum,avd,bana,häst,kusk,streck,vodds,podds,kr,spår,dist,lopp_dist,start,ålder,kön,plac,pris,h1_dat,h1_kusk,h1_bana,h1_spår,h1_plac,h1_pris,h1_odds,h1_kmtid,h2_dat,h2_kusk,h2_bana,h2_spår,h2_plac,h2_pris,h2_odds,h2_kmtid,h3_dat,h3_kusk,h3_bana,h3_spår,h3_plac,h3_pris,h3_odds,h3_kmtid,h4_dat,h4_kusk,h4_bana,h4_spår,h4_plac,h4_pris,h4_odds,h4_kmtid,h5_dat,h5_kusk,h5_bana,h5_spår,h5_plac,h5_pris,h5_odds,h5_kmtid,h1_dist,h2_dist,h3_dist,h4_dist,h5_dist,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,startnr,proba,f,spela,insats,prob_order,poäng
2022-01-08,1,MANTORP,1586.0,Örjan Kihlström,32.0,3.57,1.64,44058.0,8.0,2640.0,2640.0,0,6,v,1,32.0,2021-12-26 00:00:00,Per Lennartsson,Solvalla-12,11.0,5.0,220.0,8.67,13.2,2021-12-04 00:00:00,Andreas Lövdal,Bergsåker-10,11.0,2.0,110.0,2.48,11.9,2021-10-31 00:00:00,Andreas Lövdal,Solvalla-4,11.0,1.0,60.0,2.26,12.9,2021-10-10 00:00:00,Erik Adielsson,Solvalla-10,11.0,1.0,200.0,9.05,30.0,2021-09-15 00:00:00,Örjan Kihlström,Solvalla-10,11.0,1.0,60.0,2.55,12.5,2140.0,1640.0,2140.0,2140.0,2140.0,2,1,1,1,0,1,2201.322892003233,6976.064300232707,8494.48391898452,15508.734855975692,8494.48391898452,13.0,22.0,34.0,21.0,25.0,8.0,0.35343155635723844,0.10184850435616385,True,20.36970087123277,1,1
2022-01-08,1,MANTORP,1640.0,Robert Bergh,28.0,2.95,1.58,22755.0,7.0,2640.0,2640.0,0,5,v,6,28.0,2021-12-31 00:00:00,Rikard N Skoglund,Axevalla-12,1.0,15.0,538.0,11.8,30.0,2021-12-15 00:00:00,Robert Bergh,Bergsåker-9,1.0,2.0,110.0,5.07,15.2,2021-12-04 00:00:00,Rikard N Skoglund,Bergsåker-4,1.0,1.0,100.0,3.17,14.7,2021-11-17 00:00:00,Rikard N Skoglund,Bergsåker-10,1.0,1.0,60.0,3.48,17.5,2021-11-11 00:00:00,Rikard N Skoglund,Bergsåker-4,1.0,1.0,30.0,3.92,15.5,2660.0,2640.0,2680.0,2660.0,2640.0,2,0,1,0,0,1,23.194827009486403,6976.064300232707,10966.331584284586,8494.48391898452,6006.507181794034,8.0,16.0,11.0,17.0,6.0,7.0,0.33859137571290454,-0.0005925341779136403,False,-0.0,2,1
2022-01-08,1,MANTORP,324.0,Hanna Lähdekorpi,12.0,9.04,2.38,20754.0,1.0,2640.0,2640.0,0,6,v,15,12.0,2021-12-22 00:00:00,Hanna Lähdekorpi,Åby-6,3.0,1.0,100.0,5.27,14.2,2021-11-19 00:00:00,Hanna Lähdekorpi,Jägersro-4,3.0,15.0,35.0,2.0,15.8,2021-10-28 00:00:00,Hanna Lähdekorpi,Åby-6,3.0,2.0,40.0,3.39,14.5,2021-10-09 00:00:00,Hanna Lähdekorpi,Åby-4,3.0,2.0,100.0,2.22,14.1,2021-09-25 00:00:00,Hanna Lähdekorpi,Solvalla-1,3.0,2.0,60.0,4.03,13.8,2160.0,2160.0,2160.0,2140.0,2160.0,10,0,0,0,1,0,10966.331584284586,5.916079783099616,4206.725054048198,6651.416330443618,5152.164935300037,17.0,33.0,22.0,19.0,14.0,1.0,0.1140983340915121,0.0039115597247847385,True,0.7823119449569477,3,4
2022-01-08,1,MANTORP,6849.0,Petter Karlsson,8.0,8.36,2.32,17335.0,5.0,2640.0,2640.0,0,7,s,3,8.0,2021-11-27 00:00:00,Petter Karlsson,Solvalla-8,1.0,3.0,220.0,10.56,13.5,2021-11-06 00:00:00,Petter Karlsson,Eskilstuna-8,1.0,2.0,110.0,18.71,12.8,2021-10-26 00:00:00,Petter Karlsson,Visby-1,1.0,2.0,30.0,4.98,11.5,2021-10-15 00:00:00,Petter Karlsson,Solvalla-7,1.0,2.0,40.0,6.41,15.3,2021-09-28 00:00:00,Petter Karlsson,Eskilstuna-8,1.0,2.0,35.0,6.89,13.6,2160.0,2160.0,1620.0,2140.0,2660.0,9,0,0,1,1,0,5983.816015903301,6976.064300232707,3643.130763542206,4206.725054048198,3935.030968151612,42.0,21.0,11.0,11.0,17.0,5.0,0.09545391716142268,-0.027446365832949255,False,-0.0,4,4
2022-01-08,1,MANTORP,4391.0,Kevin Oscarsson,8.0,11.63,3.0,15765.0,4.0,2640.0,2640.0,0,7,h,2,8.0,2021-12-18 00:00:00,Erica Sjöström,Kalmar-7,9.0,1.0,25.0,2.48,14.7,2021-12-10 00:00:00,Erica Sjöström,Kalmar-6,9.0,2.0,30.0,3.77,14.3,2021-11-16 00:00:00,Erica Sjöström,Kalmar-4,9.0,2.0,35.0,14.12,14.5,2021-06-27 00:00:00,Kevin Oscarsson,Kalmar-6,9.0,2.0,110.0,13.94,15.8,2021-06-12 00:00:00,Erica Sjöström,Mantorp-8,9.0,2.0,25.0,15.8,13.0,2140.0,1640.0,2140.0,3160.0,2140.0,12,1,1,0,0,1,5483.165792142293,3643.130763542206,3935.030968151612,6976.064300232707,3325.708165221809,21.0,8.0,24.0,142.0,15.0,4.0,0.09422686610805114,0.009017728394791613,True,1.8035456789583226,5,4
2022-01-08,1,MANTORP,8107.0,Jörgen S Eriksson,6.0,11.84,2.92,22167.0,9.0,2640.0,2640.0,0,6,v,15,6.0,2021-12-26 00:00:00,Jörgen S Eriksson,Solvalla-11,5.0,3.0,300.0,43.13,15.4,2021-12-15 00:00:00,Tomas Pettersson,Bergsåker-9,5.0,15.0,110.0,13.67,16.0,2021-11-19 00:00:00,Jörgen Westholm,Romme-3,5.0,1.0,60.0,1.31,17.2,2021-10-20 00:00:00,William Ekberg,Solvalla-9,5.0,1.0,60.0,2.87,15.6,2021-10-01 00:00:00,William Ekberg,Rättvik-2,5.0,1.0,40.0,2.41,16.5,3180.0,2640.0,3140.0,2660.0,3160.0,12,0,1,0,0,0,6987.5916756562965,10.488088481701515,8494.48391898452,8494.48391898452,6935.717076596412,13.0,11.0,26.0,30.0,19.0,9.0,0.06931163049683707,-0.01654523015843627,False,-0.0,6,15
2022-01-08,1,MANTORP,8482.0,Stefan Persson,2.0,31.43,5.99,17115.0,6.0,2640.0,2640.0,0,7,v,7,2.0,2021-11-29 00:00:00,Stefan Persson,Halmstad-6,7.0,6.0,25.0,3.57,14.0,2021-11-18 00:00:00,Ulf Ohlsson,Örebro-5,7.0,3.0,40.0,3.66,13.9,2021-11-04 00:00:00,Carl Johan Jepson,Romme-3,7.0,2.0,30.0,1.73,15.3,2021-10-23 00:00:00,Erik Adielsson,Örebro-10,7.0,2.0,110.0,16.17,13.3,2021-10-09 00:00:00,Linda Sedström,Åby-4,7.0,2.0,100.0,9.53,13.9,2140.0,2100.0,2660.0,2609.0,2140.0,21,1,1,0,1,1,450.0856565026091,2551.5077222615173,3643.130763542206,6976.064300232707,6651.416330443618,40.0,11.0,14.0,12.0,14.0,6.0,0.019682849087099556,-0.012532634018812387,False,-0.0,7,15
2022-01-08,1,MANTORP,7915.0,Håkan E Johansson,2.0,21.56,5.11,18980.0,11.0,2640.0,2640.0,0,7,v,8,2.0,2021-12-22 00:00:00,Stefan Persson,Åby-6,3.0,4.0,100.0,3.78,13.8,2021-12-05 00:00:00,Håkan E Johansson,Mantorp-7,3.0,2.0,50.0,8.03,15.2,2021-10-12 00:00:00,Håkan E Johansson,Axevalla-6,3.0,8.0,25.0,2.69,14.5,2021-09-13 00:00:00,Håkan E Johansson,Mantorp-9,3.0,8.0,50.0,4.37,12.2,2021-08-31 00:00:00,Håkan E Johansson,Örebro-9,3.0,8.0,110.0,14.36,13.4,2180.0,2140.0,2160.0,1640.0,2100.0,18,0,1,0,1,1,2446.919322642204,4703.261591751624,165.57725979346156,234.16160642048672,347.31779025430075,17.0,17.0,54.0,29.0,13.0,11.0,0.019682849087099556,-0.027997946190765257,False,-0.0,8,15
2022-01-08,1,MANTORP,8411.0,Anders Svanstedt,1.0,32.49,7.31,15172.0,10.0,2640.0,2640.0,0,6,h,15,1.0,2021-12-17 00:00:00,Marcus Lilius,Solvalla-10,5.0,11.0,100.0,4.08,14.7,2021-11-22 00:00:00,Anders Svanstedt,Mantorp-9,5.0,1.0,35.0,3.9,13.3,2021-11-09 00:00:00,Anders Svanstedt,Axevalla-4,5.0,2.0,25.0,4.42,14.1,2021-09-30 00:00:00,Anders Svanstedt,Örebro-6,5.0,2.0,25.0,2.55,15.4,2021-09-18 00:00:00,Carl Johan Jepson,Färjestad-11,5.0,2.0,110.0,35.24,13.7,2140.0,2140.0,2140.0,2660.0,2640.0,22,1,1,1,0,1,73.89056098930651,6487.769258055282,3325.708165221809,3325.708165221809,6976.064300232707,22.0,25.0,13.0,40.0,12.0,10.0,0.01473824354175496,-0.016549840181911125,False,-0.0,9,15
2022-01-08,1,MANTORP,1160.0,Hans Crebas,1.0,43.0,8.38,11370.0,12.0,2640.0,2640.0,0,9,v,5,1.0,2021-11-06 00:00:00,Hans Crebas,Eskilstuna-4,1.0,5.0,100.0,15.7,30.0,2021-10-19 00:00:00,Hans Crebas,Axevalla-8,1.0,1.0,30.0,5.61,14.9,2021-09-30 00:00:00,Hans Crebas,Örebro-6,1.0,2.0,25.0,4.13,15.5,2021-09-18 00:00:00,Hans Crebas,Färjestad-8,1.0,2.0,110.0,11.68,14.8,2021-08-18 00:00:00,Hans Crebas,Solvalla-5,1.0,2.0,100.0,57.87,14.5,3160.0,2140.0,2660.0,3160.0,3140.0,24,0,1,0,0,0,1484.131591025766,6006.507181794034,3325.708165221809,6976.064300232707,6651.416330443618,63.0,18.0,19.0,12.0,31.0,12.0,0.014565679185930836,-0.008897042738213668,False,-0.0,10,15
2022-01-08,1,MANTORP,9107.0,Mikael J Andersson,0.0,84.09,16.27,9844.0,2.0,2640.0,2640.0,0,9,v,15,0.0,2021-12-17 00:00:00,Carl Philip Lindblom,Solvalla-10,4.0,8.0,100.0,37.55,14.4,2021-12-07 00:00:00,Mikael J Andersson,Axevalla-9,4.0,2.0,35.0,6.62,14.4,2021-11-27 00:00:00,Mikael J Andersson,Axevalla-2,4.0,1.0,15.0,4.66,14.4,2021-11-16 00:00:00,Dwight Pieters,Axevalla-5,4.0,1.0,25.0,55.47,14.9,2021-11-02 00:00:00,Thomas Uhrberg,Jägersro-8,4.0,1.0,35.0,84.59,30.0,2140.0,1640.0,1660.0,2160.0,2140.0,29,1,1,0,0,0,331.1545195869232,3935.030968151612,4247.24195949226,5483.165792142293,6487.769258055282,22.0,10.0,10.0,11.0,14.0,2.0,0.012987232870736201,0.0011083934540884251,True,0.22167869081768501,11,15
2022-01-08,1,MANTORP,9964.0,Mats Gunnarsson,0.0,67.81,10.53,10058.0,3.0,2640.0,2640.0,0,10,v,4,0.0,2021-12-18 00:00:00,Mats Gunnarsson,Romme-3,3.0,15.0,75.0,38.42,17.3,2021-12-03 00:00:00,Per Lennartsson,Solvalla-2,3.0,5.0,40.0,12.56,14.8,2021-11-12 00:00:00,Ailin Berg-Almaas,Solvalla-4,3.0,20.0,40.0,23.08,30.0,2021-10-22 00:00:00,Per Lennartsson,Romme-2,3.0,20.0,30.0,30.71,15.0,2021-10-10 00:00:00,Mats Gunnarsson,Solvalla-7,3.0,20.0,60.0,29.96,15.1,3180.0,2140.0,1640.0,2140.0,2640.0,28,0,1,1,1,1,8.660254037844387,938.6472350101868,0.5191511147666147,0.4495980537908989,0.6358276652876376,21.0,15.0,21.0,21.0,12.0,3.0,0.012987232870736201,-0.001786195764636704,False,-0.0,12,15
2022-01-08,2,MANTORP,6831.0,Ulf Ohlsson,35.0,3.52,1.68,28250.0,9.0,2140.0,2140.0,1,5,v,2,35.0,2021-12-23 00:00:00,Ulf Ohlsson,Romme-1,11.0,3.0,35.0,3.23,16.3,2021-08-26 00:00:00,Ulf Ohlsson,Bollnäs-6,11.0,1.0,30.0,1.45,15.1,2021-08-09 00:00:00,Ulf Ohlsson,Färjestad-1,11.0,1.0,25.0,1.27,15.9,2021-04-30 00:00:00,Ulf Ohlsson,Solvalla-3,11.0,1.0,40.0,1.79,14.2,2021-04-11 00:00:00,Ulf Ohlsson,Solvalla-8,11.0,1.0,40.0,2.41,15.7,2640.0,2140.0,2640.0,2140.0,2140.0,2,1,1,1,1,0,2386.7169291026403,6006.507181794034,5483.165792142293,6935.717076596412,6935.717076596412,16.0,119.0,17.0,101.0,19.0,9.0,0.3749436981332583,0.12690548310677346,True,25.381096621354693,1,1
2022-01-08,2,MANTORP,6787.0,Kenneth Haugstad,18.0,6.12,2.13,16590.0,1.0,2140.0,2140.0,1,5,v,20,18.0,2021-12-18 00:00:00,Kenneth Haugstad,Romme-7,4.0,4.0,110.0,4.72,13.5,2021-12-01 00:00:00,Kenneth Haugstad,Solvalla-8,4.0,1.0,40.0,3.96,14.5,2021-11-17 00:00:00,Kenneth Haugstad,Solvalla-6,4.0,1.0,40.0,11.84,14.1,2021-11-07 00:00:00,Kenneth Haugstad,Eskilstuna-3,4.0,1.0,30.0,14.41,14.8,2021-09-27 00:00:00,Kenneth Haugstad,Mantorp-2,4.0,1.0,25.0,9.87,14.1,2140.0,2160.0,2140.0,2140.0,1640.0,6,1,0,1,1,1,2566.350636345657,6935.717076596412,6935.717076596412,6006.507181794034,5483.165792142293,21.0,17.0,14.0,10.0,41.0,1.0,0.16013552849924104,-0.003900501090750943,False,-0.0,2,3
2022-01-08,2,MANTORP,2005.0,Johan Untersteiner,15.0,4.95,1.94,10566.0,7.0,2140.0,2140.0,1,6,v,1,15.0,2021-12-22 00:00:00,Johan Untersteiner,Åby-7,2.0,1.0,60.0,4.95,16.4,2021-12-11 00:00:00,Johan Untersteiner,Åby-2,2.0,4.0,35.0,5.63,16.1,2021-12-01 00:00:00,Johan Untersteiner,Åby-8,2.0,3.0,60.0,20.72,17.2,2021-11-08 00:00:00,Iivari Nurminen,Halmstad-1,2.0,3.0,25.0,,15.6,2021-09-15 00:00:00,Johan Untersteiner,Åby-2,2.0,3.0,30.0,45.65,15.1,2640.0,2140.0,2140.0,2640.0,2640.0,5,1,0,0,1,0,8494.48391898452,1447.6169935559349,3124.9459971558285,2017.143967463676,2209.670505430644,17.0,11.0,10.0,23.0,54.0,7.0,0.145336360850322,-0.0710341807065585,False,-0.0,3,3
2022-01-08,2,MANTORP,7123.0,Micael Lindblom,8.0,10.46,2.86,9830.0,8.0,2140.0,2140.0,1,6,v,6,8.0,2021-12-18 00:00:00,Micael Lindblom,Romme-7,2.0,2.0,110.0,21.48,13.3,2021-11-30 00:00:00,Zeb Jonasson,Eskilstuna-6,2.0,1.0,40.0,2.2,15.7,2021-11-15 00:00:00,Micael Lindblom,Eskilstuna-10,2.0,1.0,10.0,4.06,13.2,2021-10-30 00:00:00,Micael Lindblom,Färjestad-6,2.0,1.0,30.0,25.31,14.2,2021-09-23 00:00:00,Micael Lindblom,Örebro-1,2.0,1.0,10.0,,17.1,2140.0,2140.0,1640.0,1640.0,2100.0,11,1,1,1,0,1,6976.064300232707,6935.717076596412,3467.858538298206,6006.507181794034,3467.858538298206,21.0,18.0,15.0,16.0,37.0,8.0,0.0953568840267284,-0.0002713523340825427,False,-0.0,4,4
2022-01-08,2,MANTORP,4399.0,Jörgen S Eriksson,7.0,10.26,3.28,13977.0,10.0,2140.0,2140.0,1,4,v,3,7.0,2021-12-29 00:00:00,Jörgen S Eriksson,Örebro-7,10.0,15.0,180.0,14.67,15.0,2021-12-18 00:00:00,Jörgen S Eriksson,Romme-7,10.0,15.0,110.0,45.25,14.2,2021-11-24 00:00:00,Kim Eriksson,Solvalla-9,10.0,4.0,200.0,13.99,16.3,2021-11-06 00:00:00,Peter Ingves,Eskilstuna-2,10.0,4.0,30.0,3.79,13.2,2021-10-27 00:00:00,Magnus A Djuse,Solvalla-2,10.0,4.0,60.0,34.64,15.1,2100.0,2140.0,2640.0,2140.0,2140.0,11,1,1,1,1,1,13.41640786499874,10.488088481701515,3460.466492113392,1340.2329094063966,1895.3755572212776,10.0,11.0,24.0,18.0,10.0,10.0,0.08018893610272501,-0.01914271226631117,False,-0.0,5,15
2022-01-08,2,MANTORP,6832.0,Rikard N Skoglund,6.0,6.78,2.49,10795.0,12.0,2140.0,2140.0,1,5,h,15,6.0,2021-12-17 00:00:00,Marcus Lilius,Solvalla-6,9.0,1.0,50.0,2.27,15.8,2021-11-27 00:00:00,Hans Crebas,Axevalla-8,9.0,2.0,40.0,8.72,16.9,2021-11-06 00:00:00,Rikard N Skoglund,Eskilstuna-6,9.0,7.0,110.0,60.97,14.8,2021-10-25 00:00:00,Rikard N Skoglund,Mantorp-5,9.0,7.0,40.0,3.5,15.1,2021-10-11 00:00:00,Rikard N Skoglund,Mantorp-5,9.0,7.0,25.0,9.73,13.0,2140.0,3140.0,2640.0,2160.0,1640.0,7,1,0,1,0,1,7754.367427987846,4206.725054048198,572.6302284848314,345.309020272667,272.9907501657212,22.0,20.0,21.0,12.0,14.0,12.0,0.0655739222603759,-0.0960914891132615,False,-0.0,6,15
2022-01-08,2,MANTORP,401.0,Claes Svensson,3.0,20.06,4.98,16142.0,5.0,2140.0,2140.0,1,4,v,15,3.0,2021-12-29 00:00:00,Claes Svensson,Örebro-7,5.0,4.0,180.0,16.89,14.9,2021-12-13 00:00:00,Claes Svensson,Mantorp-3,5.0,1.0,25.0,2.61,16.1,2021-12-02 00:00:00,Claes Svensson,Örebro-6,5.0,1.0,25.0,10.08,17.1,2021-11-18 00:00:00,Claes Svensson,Åby-3,5.0,1.0,30.0,4.06,30.0,2021-10-11 00:00:00,Jonathan Bardun,Mantorp-11,5.0,1.0,25.0,2.04,17.7,2100.0,2140.0,2140.0,2140.0,2140.0,17,1,1,0,1,0,3282.886764531425,5483.165792142293,5483.165792142293,6006.507181794034,5483.165792142293,10.0,16.0,11.0,14.0,38.0,5.0,0.027573936856793775,-0.023445268974434257,False,-0.0,7,15
2022-01-08,2,MANTORP,8500.0,Claes Sjöström,2.0,28.65,5.56,12263.0,2.0,2140.0,2140.0,1,6,v,5,2.0,2021-12-03 00:00:00,Stefan Persson,Kalmar-6,9.0,2.0,25.0,5.42,13.2,2021-11-12 00:00:00,Magnus A Djuse,Solvalla-6,9.0,2.0,40.0,6.68,14.8,2021-10-26 00:00:00,Patrik Franzén,Visby-4,9.0,7.0,20.0,8.35,16.2,2021-10-12 00:00:00,Claes Sjöström,Visby-3,9.0,7.0,30.0,3.73,14.4,2021-09-14 00:00:00,Rikard N Skoglund,Visby-4,9.0,7.0,25.0,2.36,16.6,1640.0,2140.0,2120.0,1620.0,2620.0,21,1,1,1,1,1,3325.708165221809,4206.725054048198,244.17034983968583,299.0463837120453,272.9907501657212,36.0,21.0,17.0,14.0,28.0,2.0,0.019682849087099556,-0.015771659083348925,False,-0.0,8,15
2022-01-08,2,MANTORP,3887.0,Kajsa Frick,2.0,24.0,5.38,7245.0,4.0,2140.0,2140.0,1,6,v,7,2.0,2021-12-29 00:00:00,Kajsa Frick,Örebro-2,2.0,1.0,30.0,3.01,15.2,2021-12-15 00:00:00,Kajsa Frick,Solvalla-8,2.0,3.0,40.0,27.76,14.7,2021-11-30 00:00:00,Kajsa Frick,Bollnäs-8,2.0,1.0,10.0,3.27,17.0,2021-09-26 00:00:00,Carl Philip Lindblom,Solvalla-7,2.0,1.0,100.0,292.5,16.6,2021-08-30 00:00:00,Stefan Persson,Axevalla-6,2.0,1.0,60.0,16.5,30.0,2160.0,1640.0,2140.0,2660.0,2140.0,19,0,1,0,0,0,6006.507181794034,2551.5077222615173,3467.858538298206,10966.331584284586,8494.48391898452,10.0,14.0,15.0,65.0,27.0,4.0,0.019682849087099556,-0.022939635735200463,False,-0.0,9,15
