iter	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Accuracy_SumError	Accuracy_SumWeight	Precision_SumError	Precision_SumWeight
0	6536.438959	9165.798088	6536.438959	8770.438959	9165.798088	13610.43896	18473.79809	6536.438959	8770.438959
1	7423.451677	9165.798088	7423.451677	10581.45168	9165.798088	13573.45168	18473.79809	7423.451677	10581.45168
2	7434.011353	9165.798088	7434.011353	10622.01135	9165.798088	13554.01135	18473.79809	7434.011353	10622.01135
3	7444.571028	9165.798088	7444.571028	10636.57103	9165.798088	13560.57103	18473.79809	7444.571028	10636.57103
4	7434.011353	9165.798088	7434.011353	10623.01135	9165.798088	13553.01135	18473.79809	7434.011353	10623.01135
5	7159.459797	9165.798088	7159.459797	10068.4598	9165.798088	13558.4598	18473.79809	7159.459797	10068.4598
6	7170.019472	9165.798088	7170.019472	10087.01947	9165.798088	13561.01947	18473.79809	7170.019472	10087.01947
7	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
8	7138.340446	9165.798088	7138.340446	10022.34045	9165.798088	13562.34045	18473.79809	7138.340446	10022.34045
9	7138.340446	9165.798088	7138.340446	10022.34045	9165.798088	13562.34045	18473.79809	7138.340446	10022.34045
10	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
11	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
12	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
13	7138.340446	9165.798088	7138.340446	10022.34045	9165.798088	13562.34045	18473.79809	7138.340446	10022.34045
14	7138.340446	9165.798088	7138.340446	10022.34045	9165.798088	13562.34045	18473.79809	7138.340446	10022.34045
15	7138.340446	9165.798088	7138.340446	10022.34045	9165.798088	13562.34045	18473.79809	7138.340446	10022.34045
16	7138.340446	9165.798088	7138.340446	10016.34045	9165.798088	13568.34045	18473.79809	7138.340446	10016.34045
17	7138.340446	9165.798088	7138.340446	10022.34045	9165.798088	13562.34045	18473.79809	7138.340446	10022.34045
18	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
19	7138.340446	9165.798088	7138.340446	10024.34045	9165.798088	13560.34045	18473.79809	7138.340446	10024.34045
20	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
21	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
22	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
23	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
24	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
25	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
26	7138.340446	9165.798088	7138.340446	10023.34045	9165.798088	13561.34045	18473.79809	7138.340446	10023.34045
27	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
28	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
29	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
30	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
31	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
32	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
33	7138.340446	9165.798088	7138.340446	10020.34045	9165.798088	13564.34045	18473.79809	7138.340446	10020.34045
34	7138.340446	9165.798088	7138.340446	10021.34045	9165.798088	13563.34045	18473.79809	7138.340446	10021.34045
35	7138.340446	9165.798088	7138.340446	10021.34045	9165.798088	13563.34045	18473.79809	7138.340446	10021.34045
36	7064.42272	9165.798088	7064.42272	9885.42272	9165.798088	13551.42272	18473.79809	7064.42272	9885.42272
37	7064.42272	9165.798088	7064.42272	9885.42272	9165.798088	13551.42272	18473.79809	7064.42272	9885.42272
38	7064.42272	9165.798088	7064.42272	9882.42272	9165.798088	13554.42272	18473.79809	7064.42272	9882.42272
39	7064.42272	9165.798088	7064.42272	9884.42272	9165.798088	13552.42272	18473.79809	7064.42272	9884.42272
40	7064.42272	9165.798088	7064.42272	9888.42272	9165.798088	13548.42272	18473.79809	7064.42272	9888.42272
41	7064.42272	9165.798088	7064.42272	9890.42272	9165.798088	13546.42272	18473.79809	7064.42272	9890.42272
42	7074.982395	9165.798088	7074.982395	9911.982395	9165.798088	13545.9824	18473.79809	7074.982395	9911.982395
43	7074.982395	9165.798088	7074.982395	9911.982395	9165.798088	13545.9824	18473.79809	7074.982395	9911.982395
44	7085.54207	9165.798088	7085.54207	9931.54207	9165.798088	13547.54207	18473.79809	7085.54207	9931.54207
45	7085.54207	9165.798088	7085.54207	9921.54207	9165.798088	13557.54207	18473.79809	7085.54207	9921.54207
46	7085.54207	9165.798088	7085.54207	9922.54207	9165.798088	13556.54207	18473.79809	7085.54207	9922.54207
47	7085.54207	9165.798088	7085.54207	9925.54207	9165.798088	13553.54207	18473.79809	7085.54207	9925.54207
48	7085.54207	9165.798088	7085.54207	9910.54207	9165.798088	13568.54207	18473.79809	7085.54207	9910.54207
49	7085.54207	9165.798088	7085.54207	9919.54207	9165.798088	13559.54207	18473.79809	7085.54207	9919.54207
50	7085.54207	9165.798088	7085.54207	9911.54207	9165.798088	13567.54207	18473.79809	7085.54207	9911.54207
51	7074.982395	9165.798088	7074.982395	9898.982395	9165.798088	13558.9824	18473.79809	7074.982395	9898.982395
52	7074.982395	9165.798088	7074.982395	9898.982395	9165.798088	13558.9824	18473.79809	7074.982395	9898.982395
53	7074.982395	9165.798088	7074.982395	9897.982395	9165.798088	13559.9824	18473.79809	7074.982395	9897.982395
54	7064.42272	9165.798088	7064.42272	9879.42272	9165.798088	13557.42272	18473.79809	7064.42272	9879.42272
55	7064.42272	9165.798088	7064.42272	9876.42272	9165.798088	13560.42272	18473.79809	7064.42272	9876.42272
56	7064.42272	9165.798088	7064.42272	9870.42272	9165.798088	13566.42272	18473.79809	7064.42272	9870.42272
57	7053.863045	9165.798088	7053.863045	9845.863045	9165.798088	13569.86304	18473.79809	7053.863045	9845.863045
58	7053.863045	9165.798088	7053.863045	9836.863045	9165.798088	13578.86304	18473.79809	7053.863045	9836.863045
59	7001.064669	9165.798088	7001.064669	9760.064669	9165.798088	13550.06467	18473.79809	7001.064669	9760.064669
60	6969.385643	9165.798088	6969.385643	9691.385643	9165.798088	13555.38564	18473.79809	6969.385643	9691.385643
61	6958.825968	9165.798088	6958.825968	9674.825968	9165.798088	13550.82597	18473.79809	6958.825968	9674.825968
62	6948.266293	9165.798088	6948.266293	9654.266293	9165.798088	13550.26629	18473.79809	6948.266293	9654.266293
63	6916.587267	9165.798088	6916.587267	9609.587267	9165.798088	13531.58727	18473.79809	6916.587267	9609.587267
64	6937.706617	9165.798088	6937.706617	9652.706617	9165.798088	13530.70662	18473.79809	6937.706617	9652.706617
65	6916.587267	9165.798088	6916.587267	9613.587267	9165.798088	13527.58727	18473.79809	6916.587267	9613.587267
66	6916.587267	9165.798088	6916.587267	9610.587267	9165.798088	13530.58727	18473.79809	6916.587267	9610.587267
67	6906.027592	9165.798088	6906.027592	9598.027592	9165.798088	13522.02759	18473.79809	6906.027592	9598.027592
68	6916.587267	9165.798088	6916.587267	9617.587267	9165.798088	13523.58727	18473.79809	6916.587267	9617.587267
69	6916.587267	9165.798088	6916.587267	9614.587267	9165.798088	13526.58727	18473.79809	6916.587267	9614.587267
70	6927.146942	9165.798088	6927.146942	9634.146942	9165.798088	13528.14694	18473.79809	6927.146942	9634.146942
71	6937.706617	9165.798088	6937.706617	9648.706617	9165.798088	13534.70662	18473.79809	6937.706617	9648.706617
72	6927.146942	9165.798088	6927.146942	9635.146942	9165.798088	13527.14694	18473.79809	6927.146942	9635.146942
73	6937.706617	9165.798088	6937.706617	9641.706617	9165.798088	13541.70662	18473.79809	6937.706617	9641.706617
74	6937.706617	9165.798088	6937.706617	9649.706617	9165.798088	13533.70662	18473.79809	6937.706617	9649.706617
75	6948.266293	9165.798088	6948.266293	9662.266293	9165.798088	13542.26629	18473.79809	6948.266293	9662.266293
76	6948.266293	9165.798088	6948.266293	9662.266293	9165.798088	13542.26629	18473.79809	6948.266293	9662.266293
77	6948.266293	9165.798088	6948.266293	9668.266293	9165.798088	13536.26629	18473.79809	6948.266293	9668.266293
78	6958.825968	9165.798088	6958.825968	9673.825968	9165.798088	13551.82597	18473.79809	6958.825968	9673.825968
79	6948.266293	9165.798088	6948.266293	9659.266293	9165.798088	13545.26629	18473.79809	6948.266293	9659.266293
