,datum,bana,avd,pris
0,2021-01-09,BERGSÅKER,1,125.000
1,2021-01-09,BERGSÅKER,2,110.000
2,2021-01-09,BERGSÅKER,3,110.000
3,2021-01-09,BERGSÅKER,4,110.000
4,2021-01-09,BERGSÅKER,5,150.000
5,2021-01-09,BERGSÅKER,6,110.000
6,2021-01-09,BERGSÅKER,7,110.000
0,2021-01-02,KALMAR,1,110.000
1,2021-01-02,KALMAR,2,110.000
2,2021-01-02,KALMAR,3,150.000
3,2021-01-02,KALMAR,4,110.000
4,2021-01-02,KALMAR,5,125.000
5,2021-01-02,KALMAR,6,110.000
6,2021-01-02,KALMAR,7,110.000
0,2020-12-31,AXEVALLA,1,100.000
1,2020-12-31,AXEVALLA,2,100.000
2,2020-12-31,AXEVALLA,3,100.000
3,2020-12-31,AXEVALLA,4,100.000
4,2020-12-31,AXEVALLA,5,100.000
5,2020-12-31,AXEVALLA,6,100.000
6,2020-12-31,AXEVALLA,7,337.080
0,2020-12-30,BJERKE,1,50.000
1,2020-12-30,BJERKE,2,50.000
2,2020-12-30,BJERKE,3,60.000
3,2020-12-30,BJERKE,4,50.000
4,2020-12-30,BJERKE,5,50000
5,2020-12-30,BJERKE,6,50.000
6,2020-12-30,BJERKE,7,50.000
0,2020-12-29,ÅLBORG,1,30000
1,2020-12-29,ÅLBORG,2,40000
2,2020-12-29,ÅLBORG,3,37500
3,2020-12-29,ÅLBORG,4,40000
4,2020-12-29,ÅLBORG,5,40000
5,2020-12-29,ÅLBORG,6,60000
6,2020-12-29,ÅLBORG,7,40000
0,2020-12-28,ROMME,1,100.000
1,2020-12-28,ROMME,2,100.000
2,2020-12-28,ROMME,3,100.000
3,2020-12-28,ROMME,4,250.000
4,2020-12-28,ROMME,5,100.000
5,2020-12-28,ROMME,6,100.000
6,2020-12-28,ROMME,7,100.000
0,2020-12-27,MOMARKEN,1,60.000
1,2020-12-27,MOMARKEN,2,60.000
2,2020-12-27,MOMARKEN,3,50.000
3,2020-12-27,MOMARKEN,4,50.000
4,2020-12-27,MOMARKEN,5,50000
5,2020-12-27,MOMARKEN,6,60.000
6,2020-12-27,MOMARKEN,7,60.000
0,2020-12-26,SOLVALLA,1,220.000
1,2020-12-26,SOLVALLA,2,220.000
2,2020-12-26,SOLVALLA,3,300.000
3,2020-12-26,SOLVALLA,4,220.000
4,2020-12-26,SOLVALLA,5,220.000
5,2020-12-26,SOLVALLA,6,220.000
6,2020-12-26,SOLVALLA,7,250.000
0,2020-12-25,UMÅKER,1,100.000
1,2020-12-25,UMÅKER,2,100.000
2,2020-12-25,UMÅKER,3,100.000
3,2020-12-25,UMÅKER,4,100.000
4,2020-12-25,UMÅKER,5,100.000
5,2020-12-25,UMÅKER,6,100.000
6,2020-12-25,UMÅKER,7,100.000
0,2020-12-23,MANTORP,1,100.000
1,2020-12-23,MANTORP,2,100.000
2,2020-12-23,MANTORP,3,100.000
3,2020-12-23,MANTORP,4,100.000
4,2020-12-23,MANTORP,5,100.000
5,2020-12-23,MANTORP,6,100.000
6,2020-12-23,MANTORP,7,100.000
0,2020-12-19,HALMSTAD,1,110.000
1,2020-12-19,HALMSTAD,2,110.000
2,2020-12-19,HALMSTAD,3,150.000
3,2020-12-19,HALMSTAD,4,110.000
4,2020-12-19,HALMSTAD,5,110.000
5,2020-12-19,HALMSTAD,6,110.000
6,2020-12-19,HALMSTAD,7,125.000
0,2020-12-12,BERGSÅKER,1,125.000
1,2020-12-12,BERGSÅKER,2,200.000
2,2020-12-12,BERGSÅKER,3,110.000
3,2020-12-12,BERGSÅKER,4,110.000
4,2020-12-12,BERGSÅKER,5,110.000
5,2020-12-12,BERGSÅKER,6,150.000
6,2020-12-12,BERGSÅKER,7,110.000
0,2020-12-05,ÅBY,1,110.000
1,2020-12-05,ÅBY,2,110.000
2,2020-12-05,ÅBY,3,100.000
3,2020-12-05,ÅBY,4,110.000
4,2020-12-05,ÅBY,5,250.000
5,2020-12-05,ÅBY,6,110.000
6,2020-12-05,ÅBY,7,125.000
0,2020-11-28,SOLVALLA,1,300.000
1,2020-11-28,SOLVALLA,2,220.000
2,2020-11-28,SOLVALLA,3,220.000
3,2020-11-28,SOLVALLA,4,220.000
4,2020-11-28,SOLVALLA,5,250.000
5,2020-11-28,SOLVALLA,6,300.000
6,2020-11-28,SOLVALLA,7,220.000
0,2020-11-21,JÄGERSRO,1,110.000
1,2020-11-21,JÄGERSRO,2,110.000
2,2020-11-21,JÄGERSRO,3,110.000
3,2020-11-21,JÄGERSRO,4,700.000
4,2020-11-21,JÄGERSRO,5,110.000
5,2020-11-21,JÄGERSRO,6,150.000
6,2020-11-21,JÄGERSRO,7,125.000
0,2020-11-14,ROMME,1,110.000
1,2020-11-14,ROMME,2,110.000
2,2020-11-14,ROMME,3,150.000
3,2020-11-14,ROMME,4,100.000
4,2020-11-14,ROMME,5,125.000
5,2020-11-14,ROMME,6,110.000
6,2020-11-14,ROMME,7,110.000
0,2020-11-08,ESKILSTUNA,1,110.000
1,2020-11-08,ESKILSTUNA,2,800.000
2,2020-11-08,ESKILSTUNA,3,100.000
3,2020-11-08,ESKILSTUNA,4,800.000
4,2020-11-08,ESKILSTUNA,5,100.000
5,2020-11-08,ESKILSTUNA,6,800.000
6,2020-11-08,ESKILSTUNA,7,800.000
0,2020-11-07,ESKILSTUNA,1,110.000
1,2020-11-07,ESKILSTUNA,2,110.000
2,2020-11-07,ESKILSTUNA,3,110.000
3,2020-11-07,ESKILSTUNA,4,110.000
4,2020-11-07,ESKILSTUNA,5,110.000
5,2020-11-07,ESKILSTUNA,6,125.000
6,2020-11-07,ESKILSTUNA,7,150.000
0,2020-10-31,JÄGERSRO,1,110.000
1,2020-10-31,JÄGERSRO,2,110.000
2,2020-10-31,JÄGERSRO,3,125.000
3,2020-10-31,JÄGERSRO,4,110.000
4,2020-10-31,JÄGERSRO,5,110.000
5,2020-10-31,JÄGERSRO,6,110.000
6,2020-10-31,JÄGERSRO,7,400.000
0,2020-10-25,SOLVALLA,1,200.000
1,2020-10-25,SOLVALLA,2,200.000
2,2020-10-25,SOLVALLA,3,200.000
3,2020-10-25,SOLVALLA,4,200.000
4,2020-10-25,SOLVALLA,5,200.000
5,2020-10-25,SOLVALLA,6,200.000
6,2020-10-25,SOLVALLA,7,200.000
0,2020-10-24,ÖREBRO,1,110.000
1,2020-10-24,ÖREBRO,2,110.000
2,2020-10-24,ÖREBRO,3,110.000
3,2020-10-24,ÖREBRO,4,110.000
4,2020-10-24,ÖREBRO,5,125.000
5,2020-10-24,ÖREBRO,6,110.000
6,2020-10-24,ÖREBRO,7,150.000
0,2020-10-17,GÄVLE,1,110.000
1,2020-10-17,GÄVLE,2,110.000
2,2020-10-17,GÄVLE,3,110.000
3,2020-10-17,GÄVLE,4,200.000
4,2020-10-17,GÄVLE,5,150.000
5,2020-10-17,GÄVLE,6,110.000
6,2020-10-17,GÄVLE,7,125.000
0,2020-10-10,ÅBY,1,500.000
1,2020-10-10,ÅBY,2,110.000
2,2020-10-10,ÅBY,3,250.000
3,2020-10-10,ÅBY,4,110.000
4,2020-10-10,ÅBY,5,110.000
5,2020-10-10,ÅBY,6,110.000
6,2020-10-10,ÅBY,7,500.000
0,2020-10-03,SKELLEFTEÅ,1,110.000
1,2020-10-03,SKELLEFTEÅ,2,110.000
2,2020-10-03,SKELLEFTEÅ,3,150.000
3,2020-10-03,SKELLEFTEÅ,4,110.000
4,2020-10-03,SKELLEFTEÅ,5,125.000
5,2020-10-03,SKELLEFTEÅ,6,150.000
6,2020-10-03,SKELLEFTEÅ,7,110.000
0,2020-09-27,SOLVALLA,1,220.000
1,2020-09-27,SOLVALLA,2,200.000
2,2020-09-27,SOLVALLA,3,200.000
3,2020-09-27,SOLVALLA,4,100.000
4,2020-09-27,SOLVALLA,5,100.000
5,2020-09-27,SOLVALLA,6,750.000
6,2020-09-27,SOLVALLA,7,220.000
0,2020-09-26,SOLVALLA,1,250.000
1,2020-09-26,SOLVALLA,2,220.000
2,2020-09-26,SOLVALLA,3,220.000
3,2020-09-26,SOLVALLA,4,1.400.000
4,2020-09-26,SOLVALLA,5,220.000
5,2020-09-26,SOLVALLA,6,2.000.000
6,2020-09-26,SOLVALLA,7,220.000
0,2020-09-19,FÄRJESTAD,1,110.000
1,2020-09-19,FÄRJESTAD,2,110.000
2,2020-09-19,FÄRJESTAD,3,300.000
3,2020-09-19,FÄRJESTAD,4,110.000
4,2020-09-19,FÄRJESTAD,5,150.000
5,2020-09-19,FÄRJESTAD,6,125.000
6,2020-09-19,FÄRJESTAD,7,110.000
0,2020-09-13,BJERKE,1,500.000
1,2020-09-13,BJERKE,2,50.000
2,2020-09-13,BJERKE,3,750.000
3,2020-09-13,BJERKE,4,75.000
4,2020-09-13,BJERKE,5,750000
5,2020-09-13,BJERKE,6,75.000
6,2020-09-13,BJERKE,7,1.000.000
0,2020-09-12,HAGMYREN,1,110.000
1,2020-09-12,HAGMYREN,2,110.000
2,2020-09-12,HAGMYREN,3,110.000
3,2020-09-12,HAGMYREN,4,200.000
4,2020-09-12,HAGMYREN,5,110.000
5,2020-09-12,HAGMYREN,6,150.000
6,2020-09-12,HAGMYREN,7,125.000
0,2020-09-06,JÄGERSRO,1,100.000
1,2020-09-06,JÄGERSRO,2,40.000
2,2020-09-06,JÄGERSRO,3,1.000.000
3,2020-09-06,JÄGERSRO,4,110.000
4,2020-09-06,JÄGERSRO,5,150.000
5,2020-09-06,JÄGERSRO,6,2.000.000
6,2020-09-06,JÄGERSRO,7,100.000
0,2020-09-05,JÄGERSRO,1,110.000
1,2020-09-05,JÄGERSRO,2,110.000
2,2020-09-05,JÄGERSRO,3,100.000
3,2020-09-05,JÄGERSRO,4,110.000
4,2020-09-05,JÄGERSRO,5,150.000
5,2020-09-05,JÄGERSRO,6,125.000
6,2020-09-05,JÄGERSRO,7,110.000
0,2020-08-30,CHARLOTTENLUND,1,50000
1,2020-08-30,CHARLOTTENLUND,2,50000
2,2020-08-30,CHARLOTTENLUND,3,75000
3,2020-08-30,CHARLOTTENLUND,4,40000
4,2020-08-30,CHARLOTTENLUND,5,25000
5,2020-08-30,CHARLOTTENLUND,6,573000
6,2020-08-30,CHARLOTTENLUND,7,75000
0,2020-08-29,BERGSÅKER,1,125.000
1,2020-08-29,BERGSÅKER,2,110.000
2,2020-08-29,BERGSÅKER,3,250.000
3,2020-08-29,BERGSÅKER,4,200.000
4,2020-08-29,BERGSÅKER,5,110.000
5,2020-08-29,BERGSÅKER,6,110.000
6,2020-08-29,BERGSÅKER,7,1.000.000
0,2020-08-25,JÄGERSRO,1,200.000
1,2020-08-25,JÄGERSRO,2,200.000
2,2020-08-25,JÄGERSRO,3,200.000
3,2020-08-25,JÄGERSRO,4,100.000
4,2020-08-25,JÄGERSRO,5,200.000
5,2020-08-25,JÄGERSRO,6,200.000
6,2020-08-25,JÄGERSRO,7,200.000
0,2020-08-22,SOLÄNGET,1,110.000
1,2020-08-22,SOLÄNGET,2,110.000
2,2020-08-22,SOLÄNGET,3,110.000
3,2020-08-22,SOLÄNGET,4,110.000
4,2020-08-22,SOLÄNGET,5,125.000
5,2020-08-22,SOLÄNGET,6,110.000
6,2020-08-22,SOLÄNGET,7,150.000
0,2020-08-19,SOLVALLA,1,100.000
1,2020-08-19,SOLVALLA,2,200.000
2,2020-08-19,SOLVALLA,3,900.000
3,2020-08-19,SOLVALLA,4,150.000
4,2020-08-19,SOLVALLA,5,200.000
5,2020-08-19,SOLVALLA,6,1.000.000
6,2020-08-19,SOLVALLA,7,300.000
0,2020-08-15,ROMME,1,110.000
1,2020-08-15,ROMME,2,125.000
2,2020-08-15,ROMME,3,950.000
3,2020-08-15,ROMME,4,110.000
4,2020-08-15,ROMME,5,150.000
5,2020-08-15,ROMME,6,950.000
6,2020-08-15,ROMME,7,110.000
0,2020-08-09,DANNERO,1,100.000
1,2020-08-09,DANNERO,2,350.000
2,2020-08-09,DANNERO,3,100.000
3,2020-08-09,DANNERO,4,600.000
4,2020-08-09,DANNERO,5,100.000
5,2020-08-09,DANNERO,6,110.000
6,2020-08-09,DANNERO,7,150.000
0,2020-08-08,ÅBY,1,220.000
1,2020-08-08,ÅBY,2,220.000
2,2020-08-08,ÅBY,3,220.000
3,2020-08-08,ÅBY,4,220.000
4,2020-08-08,ÅBY,5,220.000
5,2020-08-08,ÅBY,6,250.000
6,2020-08-08,ÅBY,7,2.000.000
0,2020-08-01,RÄTTVIK,1,110.000
1,2020-08-01,RÄTTVIK,2,110.000
2,2020-08-01,RÄTTVIK,3,150.000
3,2020-08-01,RÄTTVIK,4,100.000
4,2020-08-01,RÄTTVIK,5,110.000
5,2020-08-01,RÄTTVIK,6,125.000
6,2020-08-01,RÄTTVIK,7,300.000
0,2020-07-28,JÄGERSRO,1,200.000
1,2020-07-28,JÄGERSRO,2,700.000
2,2020-07-28,JÄGERSRO,3,80.000
3,2020-07-28,JÄGERSRO,4,80.000
4,2020-07-28,JÄGERSRO,5,100.000
5,2020-07-28,JÄGERSRO,6,1.609.000
6,2020-07-28,JÄGERSRO,7,250.000
0,2020-07-25,BOLLNÄS,1,125.000
1,2020-07-25,BOLLNÄS,2,110.000
2,2020-07-25,BOLLNÄS,3,150.000
3,2020-07-25,BOLLNÄS,4,110.000
4,2020-07-25,BOLLNÄS,5,110.000
5,2020-07-25,BOLLNÄS,6,110.000
6,2020-07-25,BOLLNÄS,7,110.000
0,2020-07-19,AXEVALLA,1,100.000
1,2020-07-19,AXEVALLA,2,110.000
2,2020-07-19,AXEVALLA,3,100.000
3,2020-07-19,AXEVALLA,4,100.000
4,2020-07-19,AXEVALLA,5,100.000
5,2020-07-19,AXEVALLA,6,100.000
6,2020-07-19,AXEVALLA,7,1.200.000
0,2020-07-18,AXEVALLA,1,110.000
1,2020-07-18,AXEVALLA,2,110.000
2,2020-07-18,AXEVALLA,3,150.000
3,2020-07-18,AXEVALLA,4,110.000
4,2020-07-18,AXEVALLA,5,125.000
5,2020-07-18,AXEVALLA,6,110.000
6,2020-07-18,AXEVALLA,7,110.000
0,2020-07-11,ÅRJÄNG,1,110.000
1,2020-07-11,ÅRJÄNG,2,110.000
2,2020-07-11,ÅRJÄNG,3,110.000
3,2020-07-11,ÅRJÄNG,4,100.000
4,2020-07-11,ÅRJÄNG,5,110.000
5,2020-07-11,ÅRJÄNG,6,125.000
6,2020-07-11,ÅRJÄNG,7,500.000
0,2020-07-05,JARLSBERG,1,100.000
1,2020-07-05,JARLSBERG,2,50.000
2,2020-07-05,JARLSBERG,3,100.000
3,2020-07-05,JARLSBERG,4,50.000
4,2020-07-05,JARLSBERG,5,50000
5,2020-07-05,JARLSBERG,6,50.000
6,2020-07-05,JARLSBERG,7,250.000
0,2020-07-04,HALMSTAD,1,110.000
1,2020-07-04,HALMSTAD,2,110.000
2,2020-07-04,HALMSTAD,3,125.000
3,2020-07-04,HALMSTAD,4,110.000
4,2020-07-04,HALMSTAD,5,110.000
5,2020-07-04,HALMSTAD,6,200.000
6,2020-07-04,HALMSTAD,7,110.000
0,2020-07-02,HALMSTAD,1,150.000
1,2020-07-02,HALMSTAD,2,150.000
2,2020-07-02,HALMSTAD,3,150.000
3,2020-07-02,HALMSTAD,4,200.000
4,2020-07-02,HALMSTAD,5,125.000
5,2020-07-02,HALMSTAD,6,800.000
6,2020-07-02,HALMSTAD,7,200.000
0,2020-06-27,BERGSÅKER,1,220.000
1,2020-06-27,BERGSÅKER,2,220.000
2,2020-06-27,BERGSÅKER,3,950.000
3,2020-06-27,BERGSÅKER,4,250.000
4,2020-06-27,BERGSÅKER,5,220.000
5,2020-06-27,BERGSÅKER,6,950.000
6,2020-06-27,BERGSÅKER,7,250.000
0,2020-06-21,KALMAR,1,110.000
1,2020-06-21,KALMAR,2,110.000
2,2020-06-21,KALMAR,3,110.000
3,2020-06-21,KALMAR,4,125.000
4,2020-06-21,KALMAR,5,150.000
5,2020-06-21,KALMAR,6,125.000
6,2020-06-21,KALMAR,7,110.000
0,2020-06-14,BJERKE,1,100.000
1,2020-06-14,BJERKE,2,50.000
2,2020-06-14,BJERKE,3,150.000
3,2020-06-14,BJERKE,4,50.000
4,2020-06-14,BJERKE,5,150000
5,2020-06-14,BJERKE,6,100.000
6,2020-06-14,BJERKE,7,350.000
0,2020-06-13,BODEN,1,110.000
1,2020-06-13,BODEN,2,110.000
2,2020-06-13,BODEN,3,110.000
3,2020-06-13,BODEN,4,110.000
4,2020-06-13,BODEN,5,110.000
5,2020-06-13,BODEN,6,125.000
6,2020-06-13,BODEN,7,500.000
0,2020-06-06,ÖSTERSUND,1,110.000
1,2020-06-06,ÖSTERSUND,2,110.000
2,2020-06-06,ÖSTERSUND,3,110.000
3,2020-06-06,ÖSTERSUND,4,110.000
4,2020-06-06,ÖSTERSUND,5,110.000
5,2020-06-06,ÖSTERSUND,6,125.000
6,2020-06-06,ÖSTERSUND,7,500.000
0,2020-05-31,SOLVALLA,1,500.000
1,2020-05-31,SOLVALLA,2,300.000
2,2020-05-31,SOLVALLA,3,500.000
3,2020-05-31,SOLVALLA,4,1.000.000
4,2020-05-31,SOLVALLA,5,150.000
5,2020-05-31,SOLVALLA,6,250.000
6,2020-05-31,SOLVALLA,7,250.000
0,2020-05-30,SOLVALLA,1,250.000
1,2020-05-30,SOLVALLA,2,220.000
2,2020-05-30,SOLVALLA,3,250.000
3,2020-05-30,SOLVALLA,4,220.000
4,2020-05-30,SOLVALLA,5,220.000
5,2020-05-30,SOLVALLA,6,220.000
6,2020-05-30,SOLVALLA,7,500.000
0,2020-05-23,GÄVLE,1,110.000
1,2020-05-23,GÄVLE,2,110.000
2,2020-05-23,GÄVLE,3,110.000
3,2020-05-23,GÄVLE,4,200.000
4,2020-05-23,GÄVLE,5,125.000
5,2020-05-23,GÄVLE,6,300.000
6,2020-05-23,GÄVLE,7,110.000
0,2020-05-17,CHARLOTTENLUND,1,75000
1,2020-05-17,CHARLOTTENLUND,2,75000
2,2020-05-17,CHARLOTTENLUND,3,110000
3,2020-05-17,CHARLOTTENLUND,4,100000
4,2020-05-17,CHARLOTTENLUND,5,100000
5,2020-05-17,CHARLOTTENLUND,6,250000
6,2020-05-17,CHARLOTTENLUND,7,100000
0,2020-05-16,MANTORP,1,110.000
1,2020-05-16,MANTORP,2,125.000
2,2020-05-16,MANTORP,3,250.000
3,2020-05-16,MANTORP,4,110.000
4,2020-05-16,MANTORP,5,110.000
5,2020-05-16,MANTORP,6,150.000
6,2020-05-16,MANTORP,7,110.000
0,2020-05-09,ÅBY,1,110.000
1,2020-05-09,ÅBY,2,110.000
2,2020-05-09,ÅBY,3,1.000.000
3,2020-05-09,ÅBY,4,250.000
4,2020-05-09,ÅBY,5,125.000
5,2020-05-09,ÅBY,6,150.000
6,2020-05-09,ÅBY,7,1.000.000
0,2020-05-02,ÖREBRO,1,110.000
1,2020-05-02,ÖREBRO,2,125.000
2,2020-05-02,ÖREBRO,3,150.000
3,2020-05-02,ÖREBRO,4,110.000
4,2020-05-02,ÖREBRO,5,110.000
5,2020-05-02,ÖREBRO,6,110.000
6,2020-05-02,ÖREBRO,7,200.000
0,2020-04-25,ÅBY,1,300.000
1,2020-04-25,ÅBY,2,110.000
2,2020-04-25,ÅBY,3,150.000
3,2020-04-25,ÅBY,4,110.000
4,2020-04-25,ÅBY,5,125.000
5,2020-04-25,ÅBY,6,110.000
6,2020-04-25,ÅBY,7,1.000.000
0,2020-04-18,UMÅKER,1,200.000
1,2020-04-18,UMÅKER,2,110.000
2,2020-04-18,UMÅKER,3,125.000
3,2020-04-18,UMÅKER,4,110.000
4,2020-04-18,UMÅKER,5,200.000
5,2020-04-18,UMÅKER,6,110.000
6,2020-04-18,UMÅKER,7,110.000
0,2020-04-12,ROMME,1,110.000
1,2020-04-12,ROMME,2,110.000
2,2020-04-12,ROMME,3,200.000
3,2020-04-12,ROMME,4,110.000
4,2020-04-12,ROMME,5,110.000
5,2020-04-12,ROMME,6,150.000
6,2020-04-12,ROMME,7,125.000
0,2020-04-11,DANNERO,1,75.000
1,2020-04-11,DANNERO,2,75.000
2,2020-04-11,DANNERO,3,75.000
3,2020-04-11,DANNERO,4,75.000
4,2020-04-11,DANNERO,5,75.000
5,2020-04-11,DANNERO,6,75.000
6,2020-04-11,DANNERO,7,75.000
0,2020-04-10,FÄRJESTAD,1,110.000
1,2020-04-10,FÄRJESTAD,2,110.000
2,2020-04-10,FÄRJESTAD,3,100.000
3,2020-04-10,FÄRJESTAD,4,110.000
4,2020-04-10,FÄRJESTAD,5,100.000
5,2020-04-10,FÄRJESTAD,6,110.000
6,2020-04-10,FÄRJESTAD,7,250.000
0,2020-04-09,GÄVLE,1,100.000
1,2020-04-09,GÄVLE,2,100.000
2,2020-04-09,GÄVLE,3,100.000
3,2020-04-09,GÄVLE,4,100.000
4,2020-04-09,GÄVLE,5,100.000
5,2020-04-09,GÄVLE,6,150.000
6,2020-04-09,GÄVLE,7,100.000
0,2020-04-04,JÄGERSRO,1,150.000
1,2020-04-04,JÄGERSRO,2,110.000
2,2020-04-04,JÄGERSRO,3,110.000
3,2020-04-04,JÄGERSRO,4,110.000
4,2020-04-04,JÄGERSRO,5,125.000
5,2020-04-04,JÄGERSRO,6,150.000
6,2020-04-04,JÄGERSRO,7,110.000
0,2020-03-28,SOLVALLA,1,220.000
1,2020-03-28,SOLVALLA,2,220.000
2,2020-03-28,SOLVALLA,3,300.000
3,2020-03-28,SOLVALLA,4,220.000
4,2020-03-28,SOLVALLA,5,250.000
5,2020-03-28,SOLVALLA,6,220.000
6,2020-03-28,SOLVALLA,7,220.000
0,2020-03-21,BERGSÅKER,1,75.000
1,2020-03-21,BERGSÅKER,2,75.000
2,2020-03-21,BERGSÅKER,3,75.000
3,2020-03-21,BERGSÅKER,4,75.000
4,2020-03-21,BERGSÅKER,5,75.000
5,2020-03-21,BERGSÅKER,6,75.000
6,2020-03-21,BERGSÅKER,7,75.000
0,2020-03-14,HALMSTAD,1,110.000
1,2020-03-14,HALMSTAD,2,110.000
2,2020-03-14,HALMSTAD,3,150.000
3,2020-03-14,HALMSTAD,4,110.000
4,2020-03-14,HALMSTAD,5,110.000
5,2020-03-14,HALMSTAD,6,125.000
6,2020-03-14,HALMSTAD,7,110.000
0,2020-03-07,FÄRJESTAD,1,125.000
1,2020-03-07,FÄRJESTAD,2,110.000
2,2020-03-07,FÄRJESTAD,3,150.000
3,2020-03-07,FÄRJESTAD,4,110.000
4,2020-03-07,FÄRJESTAD,5,110.000
5,2020-03-07,FÄRJESTAD,6,110.000
6,2020-03-07,FÄRJESTAD,7,110.000
0,2020-02-29,BERGSÅKER,1,110.000
1,2020-02-29,BERGSÅKER,2,110.000
2,2020-02-29,BERGSÅKER,3,150.000
