,datum,bana,avd,pris
2,2017-08-23,JÄGERSRO,3,200.000
3,2017-08-23,JÄGERSRO,4,100.000
4,2017-08-23,JÄGERSRO,5,200.000
5,2017-08-23,JÄGERSRO,6,200.000
6,2017-08-23,JÄGERSRO,7,200.000
0,2017-08-19,ROMME,1,110.000
1,2017-08-19,ROMME,2,925.000
2,2017-08-19,ROMME,3,150.000
3,2017-08-19,ROMME,4,100.000
4,2017-08-19,ROMME,5,100.000
5,2017-08-19,ROMME,6,925.000
6,2017-08-19,ROMME,7,125.000
0,2017-08-16,SOLVALLA,1,100.000
1,2017-08-16,SOLVALLA,2,200.000
2,2017-08-16,SOLVALLA,3,100.000
3,2017-08-16,SOLVALLA,4,800.000
4,2017-08-16,SOLVALLA,5,200.000
5,2017-08-16,SOLVALLA,6,1.000.000
6,2017-08-16,SOLVALLA,7,50.000
0,2017-08-13,DANNERO,1,100.000
1,2017-08-13,DANNERO,2,350.000
2,2017-08-13,DANNERO,3,100.000
3,2017-08-13,DANNERO,4,150.000
4,2017-08-13,DANNERO,5,100.000
5,2017-08-13,DANNERO,6,600.000
6,2017-08-13,DANNERO,7,100.000
0,2017-08-12,ÅBY,1,400.000
1,2017-08-12,ÅBY,2,200.000
2,2017-08-12,ÅBY,3,220.000
3,2017-08-12,ÅBY,4,200.000
4,2017-08-12,ÅBY,5,400.000
5,2017-08-12,ÅBY,6,500.000
6,2017-08-12,ÅBY,7,200.000
0,2017-08-05,RÄTTVIK,1,150.000
1,2017-08-05,RÄTTVIK,2,100.000
2,2017-08-05,RÄTTVIK,3,100.000
3,2017-08-05,RÄTTVIK,4,100.000
4,2017-08-05,RÄTTVIK,5,110.000
5,2017-08-05,RÄTTVIK,6,125.000
6,2017-08-05,RÄTTVIK,7,300.000
0,2017-07-29,HAGMYREN,1,100.000
1,2017-07-29,HAGMYREN,2,100.000
2,2017-07-29,HAGMYREN,3,150.000
3,2017-07-29,HAGMYREN,4,100.000
4,2017-07-29,HAGMYREN,5,125.000
5,2017-07-29,HAGMYREN,6,110.000
6,2017-07-29,HAGMYREN,7,100.000
0,2017-07-25,JÄGERSRO,1,100.000
1,2017-07-25,JÄGERSRO,2,200.000
2,2017-07-25,JÄGERSRO,3,200.000
3,2017-07-25,JÄGERSRO,4,550.000
4,2017-07-25,JÄGERSRO,5,80.000
5,2017-07-25,JÄGERSRO,6,1.000.000
6,2017-07-25,JÄGERSRO,7,250.000
0,2017-07-23,AXEVALLA,1,100.000
1,2017-07-23,AXEVALLA,2,100.000
2,2017-07-23,AXEVALLA,3,100.000
3,2017-07-23,AXEVALLA,4,100.000
4,2017-07-23,AXEVALLA,5,100.000
5,2017-07-23,AXEVALLA,6,1.200.000
6,2017-07-23,AXEVALLA,7,100.000
0,2017-07-22,AXEVALLA,1,100.000
1,2017-07-22,AXEVALLA,2,100.000
2,2017-07-22,AXEVALLA,3,150.000
3,2017-07-22,AXEVALLA,4,100.000
4,2017-07-22,AXEVALLA,5,100.000
5,2017-07-22,AXEVALLA,6,125.000
6,2017-07-22,AXEVALLA,7,110.000
0,2017-07-15,ÅRJÄNG,1,100.000
1,2017-07-15,ÅRJÄNG,2,100.000
2,2017-07-15,ÅRJÄNG,3,150.000
3,2017-07-15,ÅRJÄNG,4,100.000
4,2017-07-15,ÅRJÄNG,5,125.000
5,2017-07-15,ÅRJÄNG,6,110.000
6,2017-07-15,ÅRJÄNG,7,600.000
0,2017-07-09,JARLSBERG,1,100.000
1,2017-07-09,JARLSBERG,2,100.000
2,2017-07-09,JARLSBERG,3,200.000
3,2017-07-09,JARLSBERG,4,75.000
4,2017-07-09,JARLSBERG,5,75.000
5,2017-07-09,JARLSBERG,6,750.000
6,2017-07-09,JARLSBERG,7,75.000
0,2017-07-08,HALMSTAD,1,100.000
1,2017-07-08,HALMSTAD,2,125.000
2,2017-07-08,HALMSTAD,3,683.816
3,2017-07-08,HALMSTAD,4,100.000
4,2017-07-08,HALMSTAD,5,100.000
5,2017-07-08,HALMSTAD,6,150.000
6,2017-07-08,HALMSTAD,7,110.000
0,2017-07-06,HALMSTAD,1,100.000
1,2017-07-06,HALMSTAD,2,125.000
2,2017-07-06,HALMSTAD,3,125.000
3,2017-07-06,HALMSTAD,4,125.000
4,2017-07-06,HALMSTAD,5,100.000
5,2017-07-06,HALMSTAD,6,150.000
6,2017-07-06,HALMSTAD,7,125.000
0,2017-07-01,BERGSÅKER,1,250.000
1,2017-07-01,BERGSÅKER,2,200.000
2,2017-07-01,BERGSÅKER,3,925.000
3,2017-07-01,BERGSÅKER,4,200.000
4,2017-07-01,BERGSÅKER,5,220.000
5,2017-07-01,BERGSÅKER,6,925.000
6,2017-07-01,BERGSÅKER,7,200.000
0,2017-06-25,KALMAR,1,100.000
1,2017-06-25,KALMAR,2,100.000
2,2017-06-25,KALMAR,3,100.000
3,2017-06-25,KALMAR,4,110.000
4,2017-06-25,KALMAR,5,100.000
5,2017-06-25,KALMAR,6,150.000
6,2017-06-25,KALMAR,7,125.000
0,2017-06-17,BODEN,1,125.000
1,2017-06-17,BODEN,2,100.000
2,2017-06-17,BODEN,3,100.000
3,2017-06-17,BODEN,4,100.000
4,2017-06-17,BODEN,5,110.000
5,2017-06-17,BODEN,6,100.000
6,2017-06-17,BODEN,7,1.000.000
0,2017-06-11,BJERKE,1,200.000
1,2017-06-11,BJERKE,2,110.000
2,2017-06-11,BJERKE,3,200.000
3,2017-06-11,BJERKE,4,300.000
4,2017-06-11,BJERKE,5,300.000
5,2017-06-11,BJERKE,6,200.000
6,2017-06-11,BJERKE,7,1.500.000
0,2017-06-10,ÖSTERSUND,1,100.000
1,2017-06-10,ÖSTERSUND,2,100.000
2,2017-06-10,ÖSTERSUND,3,100.000
3,2017-06-10,ÖSTERSUND,4,100.000
4,2017-06-10,ÖSTERSUND,5,125.000
5,2017-06-10,ÖSTERSUND,6,700.000
6,2017-06-10,ÖSTERSUND,7,110.000
0,2017-06-03,MANTORP,1,110.000
1,2017-06-03,MANTORP,2,100.000
2,2017-06-03,MANTORP,3,100.000
3,2017-06-03,MANTORP,4,100.000
4,2017-06-03,MANTORP,5,125.000
5,2017-06-03,MANTORP,6,300.000
6,2017-06-03,MANTORP,7,150.000
0,2017-05-28,SOLVALLA,1,300.000
1,2017-05-28,SOLVALLA,2,150.000
2,2017-05-28,SOLVALLA,3,250.000
3,2017-05-28,SOLVALLA,4,250.000
4,2017-05-28,SOLVALLA,5,300.000
5,2017-05-28,SOLVALLA,6,250.000
6,2017-05-28,SOLVALLA,7,500.000
0,2017-05-27,SOLVALLA,1,200.000
1,2017-05-27,SOLVALLA,2,200.000
2,2017-05-27,SOLVALLA,3,200.000
3,2017-05-27,SOLVALLA,4,200.000
4,2017-05-27,SOLVALLA,5,220.000
5,2017-05-27,SOLVALLA,6,200.000
6,2017-05-27,SOLVALLA,7,500.000
0,2017-05-20,GÄVLE,1,100.000
1,2017-05-20,GÄVLE,2,100.000
2,2017-05-20,GÄVLE,3,100.000
3,2017-05-20,GÄVLE,4,150.000
4,2017-05-20,GÄVLE,5,125.000
5,2017-05-20,GÄVLE,6,400.000
6,2017-05-20,GÄVLE,7,110.000
0,2017-05-14,CHARLOTTENLUND,1,125000
1,2017-05-14,CHARLOTTENLUND,2,80000
2,2017-05-14,CHARLOTTENLUND,3,150000
3,2017-05-14,CHARLOTTENLUND,4,80000
4,2017-05-14,CHARLOTTENLUND,5,100000
5,2017-05-14,CHARLOTTENLUND,6,100000
6,2017-05-14,CHARLOTTENLUND,7,375000
0,2017-05-13,ÅBY,1,976.880
1,2017-05-13,ÅBY,2,110.000
2,2017-05-13,ÅBY,3,125.000
3,2017-05-13,ÅBY,4,100.000
4,2017-05-13,ÅBY,5,150.000
5,2017-05-13,ÅBY,6,100.000
6,2017-05-13,ÅBY,7,976.880
0,2017-05-07,VERMO,1,11000
1,2017-05-07,VERMO,2,11000
2,2017-05-07,VERMO,3,11000
3,2017-05-07,VERMO,4,11000
4,2017-05-07,VERMO,5,12000
5,2017-05-07,VERMO,6,11000
6,2017-05-07,VERMO,7,110000
0,2017-05-06,ÖREBRO,1,125.000
1,2017-05-06,ÖREBRO,2,100.000
2,2017-05-06,ÖREBRO,3,150.000
3,2017-05-06,ÖREBRO,4,100.000
4,2017-05-06,ÖREBRO,5,100.000
5,2017-05-06,ÖREBRO,6,110.000
6,2017-05-06,ÖREBRO,7,400.000
0,2017-05-01,BERGSÅKER,1,100.000
1,2017-05-01,BERGSÅKER,2,100.000
2,2017-05-01,BERGSÅKER,3,100.000
3,2017-05-01,BERGSÅKER,4,100.000
4,2017-05-01,BERGSÅKER,5,100.000
5,2017-05-01,BERGSÅKER,6,100.000
6,2017-05-01,BERGSÅKER,7,100.000
0,2017-04-29,ÅBY,1,110.000
1,2017-04-29,ÅBY,2,100.000
2,2017-04-29,ÅBY,3,150.000
3,2017-04-29,ÅBY,4,100.000
4,2017-04-29,ÅBY,5,250.000
5,2017-04-29,ÅBY,6,125.000
6,2017-04-29,ÅBY,7,1.500.000
0,2017-04-22,UMÅKER,1,100.000
1,2017-04-22,UMÅKER,2,100.000
2,2017-04-22,UMÅKER,3,150.000
3,2017-04-22,UMÅKER,4,100.000
4,2017-04-22,UMÅKER,5,110.000
5,2017-04-22,UMÅKER,6,200.000
6,2017-04-22,UMÅKER,7,125.000
0,2017-04-16,ROMME,1,125.000
1,2017-04-16,ROMME,2,100.000
2,2017-04-16,ROMME,3,150.000
3,2017-04-16,ROMME,4,150.000
4,2017-04-16,ROMME,5,100.000
5,2017-04-16,ROMME,6,100.000
6,2017-04-16,ROMME,7,110.000
0,2017-04-14,FÄRJESTAD,1,100.000
1,2017-04-14,FÄRJESTAD,2,100.000
2,2017-04-14,FÄRJESTAD,3,100.000
3,2017-04-14,FÄRJESTAD,4,100.000
4,2017-04-14,FÄRJESTAD,5,100.000
5,2017-04-14,FÄRJESTAD,6,100.000
6,2017-04-14,FÄRJESTAD,7,250.000
0,2017-04-08,JÄGERSRO,1,100.000
1,2017-04-08,JÄGERSRO,2,100.000
2,2017-04-08,JÄGERSRO,3,150.000
3,2017-04-08,JÄGERSRO,4,100.000
4,2017-04-08,JÄGERSRO,5,125.000
5,2017-04-08,JÄGERSRO,6,110.000
6,2017-04-08,JÄGERSRO,7,100.000
0,2017-04-01,SOLVALLA,1,200.000
1,2017-04-01,SOLVALLA,2,200.000
2,2017-04-01,SOLVALLA,3,250.000
3,2017-04-01,SOLVALLA,4,200.000
4,2017-04-01,SOLVALLA,5,200.000
5,2017-04-01,SOLVALLA,6,200.000
6,2017-04-01,SOLVALLA,7,220.000
0,2017-03-26,HALMSTAD,1,100.000
1,2017-03-26,HALMSTAD,2,100.000
2,2017-03-26,HALMSTAD,3,100.000
3,2017-03-26,HALMSTAD,4,100.000
4,2017-03-26,HALMSTAD,5,100.000
5,2017-03-26,HALMSTAD,6,100.000
6,2017-03-26,HALMSTAD,7,100.000
0,2017-03-25,MANTORP,1,100.000
1,2017-03-25,MANTORP,2,100.000
2,2017-03-25,MANTORP,3,150.000
3,2017-03-25,MANTORP,4,200.000
4,2017-03-25,MANTORP,5,125.000
5,2017-03-25,MANTORP,6,110.000
6,2017-03-25,MANTORP,7,100.000
0,2017-03-18,MOMARKEN,1,125.000
1,2017-03-18,MOMARKEN,2,125.000
2,2017-03-18,MOMARKEN,3,150.000
3,2017-03-18,MOMARKEN,4,150.000
4,2017-03-18,MOMARKEN,5,125.000
5,2017-03-18,MOMARKEN,6,250.000
6,2017-03-18,MOMARKEN,7,125.000
0,2017-03-11,BOLLNÄS,1,125.000
1,2017-03-11,BOLLNÄS,2,100.000
2,2017-03-11,BOLLNÄS,3,150.000
3,2017-03-11,BOLLNÄS,4,100.000
4,2017-03-11,BOLLNÄS,5,100.000
5,2017-03-11,BOLLNÄS,6,110.000
6,2017-03-11,BOLLNÄS,7,100.000
0,2017-03-04,KALMAR,1,100.000
1,2017-03-04,KALMAR,2,100.000
2,2017-03-04,KALMAR,3,150.000
3,2017-03-04,KALMAR,4,100.000
4,2017-03-04,KALMAR,5,125.000
5,2017-03-04,KALMAR,6,100.000
6,2017-03-04,KALMAR,7,110.000
0,2017-02-26,GÄVLE,1,100.000
1,2017-02-26,GÄVLE,2,100.000
2,2017-02-26,GÄVLE,3,100.000
3,2017-02-26,GÄVLE,4,100.000
4,2017-02-26,GÄVLE,5,100.000
5,2017-02-26,GÄVLE,6,100.000
6,2017-02-26,GÄVLE,7,100.000
0,2017-02-25,ESKILSTUNA,1,100.000
1,2017-02-25,ESKILSTUNA,2,100.000
2,2017-02-25,ESKILSTUNA,3,150.000
3,2017-02-25,ESKILSTUNA,4,100.000
4,2017-02-25,ESKILSTUNA,5,110.000
5,2017-02-25,ESKILSTUNA,6,100.000
6,2017-02-25,ESKILSTUNA,7,125.000
0,2017-02-18,AXEVALLA,1,100.000
1,2017-02-18,AXEVALLA,2,100.000
2,2017-02-18,AXEVALLA,3,100.000
3,2017-02-18,AXEVALLA,4,150.000
4,2017-02-18,AXEVALLA,5,100.000
5,2017-02-18,AXEVALLA,6,100.000
6,2017-02-18,AXEVALLA,7,125.000
0,2017-02-11,SOLVALLA,1,200.000
1,2017-02-11,SOLVALLA,2,200.000
2,2017-02-11,SOLVALLA,3,250.000
3,2017-02-11,SOLVALLA,4,200.000
4,2017-02-11,SOLVALLA,5,200.000
5,2017-02-11,SOLVALLA,6,200.000
6,2017-02-11,SOLVALLA,7,220.000
0,2017-02-04,ÅBY,1,125.000
1,2017-02-04,ÅBY,2,100.000
2,2017-02-04,ÅBY,3,100.000
3,2017-02-04,ÅBY,4,100.000
4,2017-02-04,ÅBY,5,150.000
5,2017-02-04,ÅBY,6,100.000
6,2017-02-04,ÅBY,7,110.000
0,2017-01-29,SOLVALLA,1,100.000
1,2017-01-29,SOLVALLA,2,100.000
2,2017-01-29,SOLVALLA,3,100.000
3,2017-01-29,SOLVALLA,4,100.000
4,2017-01-29,SOLVALLA,5,100.000
5,2017-01-29,SOLVALLA,6,100.000
6,2017-01-29,SOLVALLA,7,100.000
0,2017-01-28,BERGSÅKER,1,100.000
1,2017-01-28,BERGSÅKER,2,100.000
2,2017-01-28,BERGSÅKER,3,150.000
3,2017-01-28,BERGSÅKER,4,100.000
4,2017-01-28,BERGSÅKER,5,100.000
5,2017-01-28,BERGSÅKER,6,110.000
6,2017-01-28,BERGSÅKER,7,125.000
0,2017-01-21,FÄRJESTAD,1,100.000
1,2017-01-21,FÄRJESTAD,2,100.000
2,2017-01-21,FÄRJESTAD,3,150.000
3,2017-01-21,FÄRJESTAD,4,100.000
4,2017-01-21,FÄRJESTAD,5,125.000
5,2017-01-21,FÄRJESTAD,6,110.000
6,2017-01-21,FÄRJESTAD,7,100.000
0,2017-01-14,JÄGERSRO,1,100.000
1,2017-01-14,JÄGERSRO,2,100.000
2,2017-01-14,JÄGERSRO,3,150.000
3,2017-01-14,JÄGERSRO,4,110.000
4,2017-01-14,JÄGERSRO,5,100.000
5,2017-01-14,JÄGERSRO,6,125.000
6,2017-01-14,JÄGERSRO,7,100.000
0,2017-01-07,ROMME,1,125.000
1,2017-01-07,ROMME,2,100.000
2,2017-01-07,ROMME,3,100.000
3,2017-01-07,ROMME,4,100.000
4,2017-01-07,ROMME,5,100.000
5,2017-01-07,ROMME,6,100.000
6,2017-01-07,ROMME,7,110.000
0,2016-12-31,MANTORP,1,100.000
1,2016-12-31,MANTORP,2,100.000
2,2016-12-31,MANTORP,3,150.000
3,2016-12-31,MANTORP,4,100.000
4,2016-12-31,MANTORP,5,100.000
5,2016-12-31,MANTORP,6,100.000
6,2016-12-31,MANTORP,7,110.000
0,2016-12-30,BJERKE,1,60.000
1,2016-12-30,BJERKE,2,60.000
2,2016-12-30,BJERKE,3,60.000
3,2016-12-30,BJERKE,4,60.000
4,2016-12-30,BJERKE,5,60.000
5,2016-12-30,BJERKE,6,70.000
6,2016-12-30,BJERKE,7,70.000
0,2016-12-29,ULEÅBORG,1,10500
1,2016-12-29,ULEÅBORG,2,10500
2,2016-12-29,ULEÅBORG,3,10500
3,2016-12-29,ULEÅBORG,4,10500
4,2016-12-29,ULEÅBORG,5,10500
5,2016-12-29,ULEÅBORG,6,10500
6,2016-12-29,ULEÅBORG,7,10500
0,2016-12-28,HALMSTAD,1,100.000
1,2016-12-28,HALMSTAD,2,100.000
2,2016-12-28,HALMSTAD,3,100.000
3,2016-12-28,HALMSTAD,4,100.000
4,2016-12-28,HALMSTAD,5,100.000
5,2016-12-28,HALMSTAD,6,100.000
6,2016-12-28,HALMSTAD,7,100.000
0,2016-12-27,MOMARKEN,1,70.000
1,2016-12-27,MOMARKEN,2,70.000
2,2016-12-27,MOMARKEN,3,50.000
3,2016-12-27,MOMARKEN,4,70.000
4,2016-12-27,MOMARKEN,5,60.000
5,2016-12-27,MOMARKEN,6,50.000
6,2016-12-27,MOMARKEN,7,100.000
0,2016-12-26,SOLVALLA,1,220.000
1,2016-12-26,SOLVALLA,2,200.000
2,2016-12-26,SOLVALLA,3,250.000
3,2016-12-26,SOLVALLA,4,200.000
4,2016-12-26,SOLVALLA,5,200.000
5,2016-12-26,SOLVALLA,6,200.000
6,2016-12-26,SOLVALLA,7,200.000
0,2016-12-25,UMÅKER,1,100.000
1,2016-12-25,UMÅKER,2,100.000
2,2016-12-25,UMÅKER,3,100.000
3,2016-12-25,UMÅKER,4,100.000
4,2016-12-25,UMÅKER,5,100.000
5,2016-12-25,UMÅKER,6,100.000
6,2016-12-25,UMÅKER,7,100.000
0,2016-12-23,ÖREBRO,1,100.000
1,2016-12-23,ÖREBRO,2,100.000
2,2016-12-23,ÖREBRO,3,100.000
3,2016-12-23,ÖREBRO,4,100.000
4,2016-12-23,ÖREBRO,5,100.000
5,2016-12-23,ÖREBRO,6,100.000
6,2016-12-23,ÖREBRO,7,100.000
0,2016-12-17,ÅBY,1,100.000
1,2016-12-17,ÅBY,2,110.000
2,2016-12-17,ÅBY,3,150.000
3,2016-12-17,ÅBY,4,100.000
4,2016-12-17,ÅBY,5,100.000
5,2016-12-17,ÅBY,6,100.000
6,2016-12-17,ÅBY,7,125.000
0,2016-12-10,FÄRJESTAD,1,100.000
1,2016-12-10,FÄRJESTAD,2,100.000
2,2016-12-10,FÄRJESTAD,3,150.000
3,2016-12-10,FÄRJESTAD,4,200.000
4,2016-12-10,FÄRJESTAD,5,100.000
5,2016-12-10,FÄRJESTAD,6,110.000
6,2016-12-10,FÄRJESTAD,7,125.000
0,2016-12-03,JÄGERSRO,1,100.000
1,2016-12-03,JÄGERSRO,2,100.000
2,2016-12-03,JÄGERSRO,3,150.000
3,2016-12-03,JÄGERSRO,4,700.000
4,2016-12-03,JÄGERSRO,5,110.000
5,2016-12-03,JÄGERSRO,6,125.000
6,2016-12-03,JÄGERSRO,7,150.000
0,2016-11-27,GÄVLE,1,100.000
1,2016-11-27,GÄVLE,2,150.000
2,2016-11-27,GÄVLE,3,100.000
3,2016-11-27,GÄVLE,4,100.000
4,2016-11-27,GÄVLE,5,100.000
5,2016-11-27,GÄVLE,6,150.000
6,2016-11-27,GÄVLE,7,100.000
0,2016-11-26,SOLVALLA,1,200.000
1,2016-11-26,SOLVALLA,2,200.000
2,2016-11-26,SOLVALLA,3,400.000
3,2016-11-26,SOLVALLA,4,220.000
4,2016-11-26,SOLVALLA,5,200.000
5,2016-11-26,SOLVALLA,6,250.000
6,2016-11-26,SOLVALLA,7,200.000
0,2016-11-19,BJERKE,1,150.000
1,2016-11-19,BJERKE,2,105.000
2,2016-11-19,BJERKE,3,150.000
3,2016-11-19,BJERKE,4,105.000
4,2016-11-19,BJERKE,5,125.000
5,2016-11-19,BJERKE,6,300.000
6,2016-11-19,BJERKE,7,110.000
0,2016-11-12,BERGSÅKER,1,100.000
1,2016-11-12,BERGSÅKER,2,100.000
2,2016-11-12,BERGSÅKER,3,100.000
3,2016-11-12,BERGSÅKER,4,100.000
4,2016-11-12,BERGSÅKER,5,150.000
5,2016-11-12,BERGSÅKER,6,125.000
6,2016-11-12,BERGSÅKER,7,110.000
0,2016-11-06,ESKILSTUNA,1,100.000
1,2016-11-06,ESKILSTUNA,2,800.000
2,2016-11-06,ESKILSTUNA,3,100.000
3,2016-11-06,ESKILSTUNA,4,800.000
4,2016-11-06,ESKILSTUNA,5,100.000
5,2016-11-06,ESKILSTUNA,6,800.000
6,2016-11-06,ESKILSTUNA,7,800.000
,datum,bana,avd,pris
0,2016-11-05,ESKILSTUNA,1,110.000
1,2016-11-05,ESKILSTUNA,2,100.000
2,2016-11-05,ESKILSTUNA,3,100.000
3,2016-11-05,ESKILSTUNA,4,100.000
4,2016-11-05,ESKILSTUNA,5,150.000
5,2016-11-05,ESKILSTUNA,6,100.000
6,2016-11-05,ESKILSTUNA,7,125.000
0,2016-10-29,JÄGERSRO,1,100.000
1,2016-10-29,JÄGERSRO,2,100.000
2,2016-10-29,JÄGERSRO,3,100.000
3,2016-10-29,JÄGERSRO,4,100.000
4,2016-10-29,JÄGERSRO,5,125.000
5,2016-10-29,JÄGERSRO,6,110.000
6,2016-10-29,JÄGERSRO,7,400.000
0,2016-10-23,SOLVALLA,1,100.000
1,2016-10-23,SOLVALLA,2,100.000
2,2016-10-23,SOLVALLA,3,100.000
3,2016-10-23,SOLVALLA,4,100.000
4,2016-10-23,SOLVALLA,5,100.000
5,2016-10-23,SOLVALLA,6,100.000
6,2016-10-23,SOLVALLA,7,100.000
0,2016-10-22,ROMME,1,125.000
1,2016-10-22,ROMME,2,100.000
2,2016-10-22,ROMME,3,150.000
3,2016-10-22,ROMME,4,150.000
4,2016-10-22,ROMME,5,100.000
5,2016-10-22,ROMME,6,100.000
6,2016-10-22,ROMME,7,110.000
0,2016-10-15,ÅBY,1,100.000
1,2016-10-15,ÅBY,2,100.000
2,2016-10-15,ÅBY,3,110.000
3,2016-10-15,ÅBY,4,100.000
4,2016-10-15,ÅBY,5,500.000
5,2016-10-15,ÅBY,6,125.000
6,2016-10-15,ÅBY,7,500.000
0,2016-10-08,SKELLEFTEÅ,1,125.000
1,2016-10-08,SKELLEFTEÅ,2,100.000
2,2016-10-08,SKELLEFTEÅ,3,150.000
3,2016-10-08,SKELLEFTEÅ,4,150.000
4,2016-10-08,SKELLEFTEÅ,5,100.000
5,2016-10-08,SKELLEFTEÅ,6,100.000
6,2016-10-08,SKELLEFTEÅ,7,110.000
0,2016-10-01,FÄRJESTAD,1,100.000
1,2016-10-01,FÄRJESTAD,2,100.000
2,2016-10-01,FÄRJESTAD,3,150.000
3,2016-10-01,FÄRJESTAD,4,100.000
4,2016-10-01,FÄRJESTAD,5,300.000
5,2016-10-01,FÄRJESTAD,6,125.000
6,2016-10-01,FÄRJESTAD,7,110.000
0,2016-09-25,SOLVALLA,1,200.000
